system2rank,segmentId,system1Id,system2Number,system1Number,trglang,system1rank,srcIndex,judgeID,srclang,system2Id,documentId
3,004_1,ht,-1,-1,-1,1,004_1,zhen_prof2,-1,gg,-1
2,004_1,ht,-1,-1,-1,1,004_1,zhen_prof2,-1,c6,-1
2,004_1,gg,-1,-1,-1,3,004_1,zhen_prof2,-1,c6,-1
3,004_1,ht,-1,-1,-1,1,004_1,zhen_prof1,-1,gg,-1
2,004_1,ht,-1,-1,-1,1,004_1,zhen_prof1,-1,c6,-1
2,004_1,gg,-1,-1,-1,3,004_1,zhen_prof1,-1,c6,-1
3,004_1,ht,-1,-1,-1,2,004_1,zhen_nonprof1,-1,gg,-1
1,004_1,ht,-1,-1,-1,2,004_1,zhen_nonprof1,-1,c6,-1
1,004_1,gg,-1,-1,-1,3,004_1,zhen_nonprof1,-1,c6,-1
2,004_1,ht,-1,-1,-1,1,004_1,zhen_nonprof3,-1,gg,-1
3,004_1,ht,-1,-1,-1,1,004_1,zhen_nonprof3,-1,c6,-1
3,004_1,gg,-1,-1,-1,2,004_1,zhen_nonprof3,-1,c6,-1
2,004_1,ht,-1,-1,-1,1,004_1,zhen_nonprof2,-1,gg,-1
1,004_1,ht,-1,-1,-1,1,004_1,zhen_nonprof2,-1,c6,-1
1,004_1,gg,-1,-1,-1,2,004_1,zhen_nonprof2,-1,c6,-1
3,004_2,ht,-1,-1,-1,1,004_2,zhen_prof2,-1,gg,-1
2,004_2,ht,-1,-1,-1,1,004_2,zhen_prof2,-1,c6,-1
2,004_2,gg,-1,-1,-1,3,004_2,zhen_prof2,-1,c6,-1
2,004_2,ht,-1,-1,-1,1,004_2,zhen_prof1,-1,gg,-1
1,004_2,ht,-1,-1,-1,1,004_2,zhen_prof1,-1,c6,-1
1,004_2,gg,-1,-1,-1,2,004_2,zhen_prof1,-1,c6,-1
3,004_2,ht,-1,-1,-1,2,004_2,zhen_nonprof1,-1,gg,-1
1,004_2,ht,-1,-1,-1,2,004_2,zhen_nonprof1,-1,c6,-1
1,004_2,gg,-1,-1,-1,3,004_2,zhen_nonprof1,-1,c6,-1
3,004_2,ht,-1,-1,-1,1,004_2,zhen_nonprof3,-1,gg,-1
2,004_2,ht,-1,-1,-1,1,004_2,zhen_nonprof3,-1,c6,-1
2,004_2,gg,-1,-1,-1,3,004_2,zhen_nonprof3,-1,c6,-1
3,004_2,ht,-1,-1,-1,1,004_2,zhen_nonprof2,-1,gg,-1
2,004_2,ht,-1,-1,-1,1,004_2,zhen_nonprof2,-1,c6,-1
2,004_2,gg,-1,-1,-1,3,004_2,zhen_nonprof2,-1,c6,-1
2,004_3,ht,-1,-1,-1,3,004_3,zhen_prof2,-1,gg,-1
1,004_3,ht,-1,-1,-1,3,004_3,zhen_prof2,-1,c6,-1
1,004_3,gg,-1,-1,-1,2,004_3,zhen_prof2,-1,c6,-1
2,004_3,ht,-1,-1,-1,1,004_3,zhen_prof1,-1,gg,-1
2,004_3,ht,-1,-1,-1,1,004_3,zhen_prof1,-1,c6,-1
2,004_3,gg,-1,-1,-1,2,004_3,zhen_prof1,-1,c6,-1
2,004_3,ht,-1,-1,-1,1,004_3,zhen_nonprof1,-1,gg,-1
2,004_3,ht,-1,-1,-1,1,004_3,zhen_nonprof1,-1,c6,-1
2,004_3,gg,-1,-1,-1,2,004_3,zhen_nonprof1,-1,c6,-1
2,004_3,ht,-1,-1,-1,1,004_3,zhen_nonprof3,-1,gg,-1
2,004_3,ht,-1,-1,-1,1,004_3,zhen_nonprof3,-1,c6,-1
2,004_3,gg,-1,-1,-1,2,004_3,zhen_nonprof3,-1,c6,-1
2,004_3,ht,-1,-1,-1,3,004_3,zhen_nonprof2,-1,gg,-1
1,004_3,ht,-1,-1,-1,3,004_3,zhen_nonprof2,-1,c6,-1
1,004_3,gg,-1,-1,-1,2,004_3,zhen_nonprof2,-1,c6,-1
3,004_4,ht,-1,-1,-1,2,004_4,zhen_prof2,-1,gg,-1
1,004_4,ht,-1,-1,-1,2,004_4,zhen_prof2,-1,c6,-1
1,004_4,gg,-1,-1,-1,3,004_4,zhen_prof2,-1,c6,-1
2,004_4,ht,-1,-1,-1,2,004_4,zhen_prof1,-1,gg,-1
