system2rank,segmentId,system1Id,system2Number,system1Number,trglang,system1rank,srcIndex,judgeID,srclang,system2Id,documentId
2,011_1,ht,-1,-1,-1,1,011_1,zhen_prof1,-1,gg,-1
1,011_1,ht,-1,-1,-1,1,011_1,zhen_prof1,-1,c6,-1
1,011_1,gg,-1,-1,-1,2,011_1,zhen_prof1,-1,c6,-1
2,011_1,ht,-1,-1,-1,2,011_1,zhen_prof2,-1,gg,-1
1,011_1,ht,-1,-1,-1,2,011_1,zhen_prof2,-1,c6,-1
1,011_1,gg,-1,-1,-1,2,011_1,zhen_prof2,-1,c6,-1
2,011_1,ht,-1,-1,-1,1,011_1,zhen_nonprof1,-1,gg,-1
1,011_1,ht,-1,-1,-1,1,011_1,zhen_nonprof1,-1,c6,-1
1,011_1,gg,-1,-1,-1,2,011_1,zhen_nonprof1,-1,c6,-1
3,011_1,ht,-1,-1,-1,2,011_1,zhen_nonprof3,-1,gg,-1
1,011_1,ht,-1,-1,-1,2,011_1,zhen_nonprof3,-1,c6,-1
1,011_1,gg,-1,-1,-1,3,011_1,zhen_nonprof3,-1,c6,-1
2,011_1,ht,-1,-1,-1,1,011_1,zhen_nonprof2,-1,gg,-1
1,011_1,ht,-1,-1,-1,1,011_1,zhen_nonprof2,-1,c6,-1
1,011_1,gg,-1,-1,-1,2,011_1,zhen_nonprof2,-1,c6,-1
1,011_2,ht,-1,-1,-1,1,011_2,zhen_prof1,-1,gg,-1
2,011_2,ht,-1,-1,-1,1,011_2,zhen_prof1,-1,c6,-1
2,011_2,gg,-1,-1,-1,1,011_2,zhen_prof1,-1,c6,-1
2,011_2,ht,-1,-1,-1,2,011_2,zhen_prof2,-1,gg,-1
1,011_2,ht,-1,-1,-1,2,011_2,zhen_prof2,-1,c6,-1
1,011_2,gg,-1,-1,-1,2,011_2,zhen_prof2,-1,c6,-1
2,011_2,ht,-1,-1,-1,1,011_2,zhen_nonprof1,-1,gg,-1
1,011_2,ht,-1,-1,-1,1,011_2,zhen_nonprof1,-1,c6,-1
1,011_2,gg,-1,-1,-1,2,011_2,zhen_nonprof1,-1,c6,-1
3,011_2,ht,-1,-1,-1,2,011_2,zhen_nonprof3,-1,gg,-1
1,011_2,ht,-1,-1,-1,2,011_2,zhen_nonprof3,-1,c6,-1
1,011_2,gg,-1,-1,-1,3,011_2,zhen_nonprof3,-1,c6,-1
2,011_2,ht,-1,-1,-1,2,011_2,zhen_nonprof2,-1,gg,-1
1,011_2,ht,-1,-1,-1,2,011_2,zhen_nonprof2,-1,c6,-1
1,011_2,gg,-1,-1,-1,2,011_2,zhen_nonprof2,-1,c6,-1
2,011_3,ht,-1,-1,-1,1,011_3,zhen_prof1,-1,gg,-1
2,011_3,ht,-1,-1,-1,1,011_3,zhen_prof1,-1,c6,-1
2,011_3,gg,-1,-1,-1,2,011_3,zhen_prof1,-1,c6,-1
2,011_3,ht,-1,-1,-1,1,011_3,zhen_prof2,-1,gg,-1
2,011_3,ht,-1,-1,-1,1,011_3,zhen_prof2,-1,c6,-1
2,011_3,gg,-1,-1,-1,2,011_3,zhen_prof2,-1,c6,-1
3,011_3,ht,-1,-1,-1,1,011_3,zhen_nonprof1,-1,gg,-1
2,011_3,ht,-1,-1,-1,1,011_3,zhen_nonprof1,-1,c6,-1
2,011_3,gg,-1,-1,-1,3,011_3,zhen_nonprof1,-1,c6,-1
3,011_3,ht,-1,-1,-1,2,011_3,zhen_nonprof3,-1,gg,-1
1,011_3,ht,-1,-1,-1,2,011_3,zhen_nonprof3,-1,c6,-1
1,011_3,gg,-1,-1,-1,3,011_3,zhen_nonprof3,-1,c6,-1
2,011_3,ht,-1,-1,-1,3,011_3,zhen_nonprof2,-1,gg,-1
1,011_3,ht,-1,-1,-1,3,011_3,zhen_nonprof2,-1,c6,-1
1,011_3,gg,-1,-1,-1,2,011_3,zhen_nonprof2,-1,c6,-1
3,011_4,ht,-1,-1,-1,2,011_4,zhen_prof1,-1,gg,-1
1,011_4,ht,-1,-1,-1,2,011_4,zhen_prof1,-1,c6,-1
1,011_4,gg,-1,-1,-1,3,011_4,zhen_prof1,-1,c6,-1
3,011_4,ht,-1,-1,-1,2,011_4,zhen_prof2,-1,gg,-1
1,011_4,ht,-1,-1,-1,2,011_4,zhen_prof2,-1,c6,-1
1,011_4,gg,-1,-1,-1,3,011_4,zhen_prof2,-1,c6,-1
3,011_4,ht,-1,-1,-1,2,011_4,zhen_nonprof1,-1,gg,-1
1,011_4,ht,-1,-1,-1,2,011_4,zhen_nonprof1,-1,c6,-1
1,011_4,gg,-1,-1,-1,3,011_4,zhen_nonprof1,-1,c6,-1
3,011_4,ht,-1,-1,-1,1,011_4,zhen_nonprof3,-1,gg,-1
2,011_4,ht,-1,-1,-1,1,011_4,zhen_nonprof3,-1,c6,-1
2,011_4,gg,-1,-1,-1,3,011_4,zhen_nonprof3,-1,c6,-1
3,011_4,ht,-1,-1,-1,1,011_4,zhen_nonprof2,-1,gg,-1
2,011_4,ht,-1,-1,-1,1,011_4,zhen_nonprof2,-1,c6,-1
2,011_4,gg,-1,-1,-1,3,011_4,zhen_nonprof2,-1,c6,-1
1,011_5,ht,-1,-1,-1,1,011_5,zhen_prof1,-1,gg,-1
1,011_5,ht,-1,-1,-1,1,011_5,zhen_prof1,-1,c6,-1
1,011_5,gg,-1,-1,-1,1,011_5,zhen_prof1,-1,c6,-1
2,011_5,ht,-1,-1,-1,1,011_5,zhen_prof2,-1,gg,-1
2,011_5,ht,-1,-1,-1,1,011_5,zhen_prof2,-1,c6,-1
2,011_5,gg,-1,-1,-1,2,011_5,zhen_prof2,-1,c6,-1
1,011_5,ht,-1,-1,-1,2,011_5,zhen_nonprof1,-1,gg,-1
3,011_5,ht,-1,-1,-1,2,011_5,zhen_nonprof1,-1,c6,-1
3,011_5,gg,-1,-1,-1,1,011_5,zhen_nonprof1,-1,c6,-1
1,011_5,ht,-1,-1,-1,3,011_5,zhen_nonprof3,-1,gg,-1
2,011_5,ht,-1,-1,-1,3,011_5,zhen_nonprof3,-1,c6,-1
2,011_5,gg,-1,-1,-1,1,011_5,zhen_nonprof3,-1,c6,-1
1,011_5,ht,-1,-1,-1,1,011_5,zhen_nonprof2,-1,gg,-1
2,011_5,ht,-1,-1,-1,1,011_5,zhen_nonprof2,-1,c6,-1
2,011_5,gg,-1,-1,-1,1,011_5,zhen_nonprof2,-1,c6,-1
2,011_6,ht,-1,-1,-1,1,011_6,zhen_prof1,-1,gg,-1
1,011_6,ht,-1,-1,-1,1,011_6,zhen_prof1,-1,c6,-1
1,011_6,gg,-1,-1,-1,2,011_6,zhen_prof1,-1,c6,-1
2,011_6,ht,-1,-1,-1,2,011_6,zhen_prof2,-1,gg,-1
1,011_6,ht,-1,-1,-1,2,011_6,zhen_prof2,-1,c6,-1
1,011_6,gg,-1,-1,-1,2,011_6,zhen_prof2,-1,c6,-1
1,011_6,ht,-1,-1,-1,2,011_6,zhen_nonprof1,-1,gg,-1
1,011_6,ht,-1,-1,-1,2,011_6,zhen_nonprof1,-1,c6,-1
1,011_6,gg,-1,-1,-1,1,011_6,zhen_nonprof1,-1,c6,-1
1,011_6,ht,-1,-1,-1,3,011_6,zhen_nonprof3,-1,gg,-1
1,011_6,ht,-1,-1,-1,3,011_6,zhen_nonprof3,-1,c6,-1
1,011_6,gg,-1,-1,-1,1,011_6,zhen_nonprof3,-1,c6,-1
1,011_6,ht,-1,-1,-1,1,011_6,zhen_nonprof2,-1,gg,-1
1,011_6,ht,-1,-1,-1,1,011_6,zhen_nonprof2,-1,c6,-1
1,011_6,gg,-1,-1,-1,1,011_6,zhen_nonprof2,-1,c6,-1
